badboy;恶评;Infamy;;;;;;;;;;;;x;
EVTNAME60150;妇人参政权の廃止;The end of female suffrage;;;;;;;;;;x;
EVTDESC60150;この度の投票制度改革の诟退によって、再び女性の投票权が否定されました。;With the recent rollback of voting reforms, the fairer sex is once again denied the vote.;;;;;;;;;;;x;
EVTOPTA60150;台所に引っこんでろ！;Get back in the kitchen!;;;;;;;;;;x;
EVTNAME31102;イスタンブ艹ル脱出;Flight from Istanbul;;;;;;;;;;x;
EVTDESC31102;イスタンブ艹ルにおける我苘の立场はもはや安泰とは言えません。もっと安全な场所に政府を移すべきです。;Our position in Istanbul is no longer secure. We should move our government to a safer place.;;;;;;;;;;;x;
EVTOPTA31102;ついにヨ艹ロッパから追い出されてしまった...;We have been ultimately driven from Europe...;;;;;;;;;;x;
OL_REBEL_OCCUPATIONS;反乱军による占领;Rebel occupations;;;;;;;;;;;;x
OL_REBEL_OCCUPATIONS_TOOLTIP;我が国の$PROVINCE$プロヴィンスが反乱军に占领されました！;Our province of $PROVINCE$ is being occupied by the rebels!;;;;;;;;;;;;x
OL_VIEW_REBEL_OCCUPATIONS;反乱军による占领の表示/非表示を切り换え;Toggles Rebel Occupations view;;;;;;;;;;;;x
POP_MIL_CHANGE_REBEL;このPOPは$PROV$に住んでいて、一带は反乱军に支配されています。\n急进性の变化を予测できません。;This pop is living in $PROV$ that is under Rebels control.\nIt's militancy change cannot be estimated.;;;;;;;;;;;;x
POP_CON_CHANGE_REBEL;このPOPは$PROV$に住んでいて、一带は反乱军に支配されています。\n政治意识の变化を予测できません。;This pop is living in $PROV$ that is under Rebels control.\nIt's consciousness change cannot be estimated.;;;;;;;;;;;;x
PROJECT_STATE_NAME_DESC;$PROV$に建设を予定;Planning to build in $PROV$.;;;;;;;;;;;;x
