UNIT_BUILD_TIME_IW;$VAL$日;$VAL$ days.;;;;;;;;;;;;x
SUPPLY_OWNER;领有国:;Owner:;;;;;;;;;;;;x
SUPPLY_ALLIED;同盟国：;Allied:;;;;;;;;;;;;x
SUPPLY_ACCESS;军事通行权:;Military Access:;;;;;;;;;;;;x
SUPPLY_CONTROLLER;统治下:;Controlled:;;;;;;;;;;;;x
SUPPLY_CONTROLLER_ALLIANCE;同盟国の统治下:;Controlled by an ally:;;;;;;;;;;;;x
SUPPLY_SIEGE;包围下:;Is besieging:;;;;;;;;;;;;x
SUPPLY_CORE;中核プロヴィンス:;Core:;;;;;;;;;;;;x
fascist_uh;ファシストは、社会改革の扩张と政治改革の诟退を支持します。しかし、与党がファシズム政党でない场合、いかなる改革にも反对します。;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;;;;;;;;;;;;x
reactionary_uh;反动主义者は、常に政治改革鼍社会改革の两方を诟退させようとします。;Reactionaries always attempt to roll back both political and social reforms.;;;;;;;;;;;;x
conservative_uh;保守主义者は、现状维持を好みます。しかし、高い斗争性の下では、改革を诟退させようとする场合もあります。;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;;;;;;;;;;;;x
socialist_uh;社会主义者は、さらなる社会改革の扩张を望みます。しかし、高い斗争性の下では、政治改革を诟退させようとする场合もあります。;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;;;;;;;;;;;;x
communist_uh;共产主义者は、社会改革の实现を望みます。しかし、政治改革については、诟退させることを望みます。;Communists want to enact social reforms, but want to see political reforms rolled back.;;;;;;;;;;;;x
liberal_uh;自由主义者は、さらなる政治改革を望みます。しかし、高い斗争性の下では、社会改革も支持します。;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;;;;;;;;;;;;x
anarcho_liberal_uh;无政府-自由主义者は、社会改革の诟退を望み、いかなる种类の改革も支持することはありません。;Anarcho-Liberals want to see social reforms rolled back, and will never support further reforms of any kind.;;;;;;;;;;;;x
RP_ACCUMULATED;现在、未使用の研究点が$VAL$蓄积されています。;We have accumulated $VAL$ research points that are currently unused.;;;;;;;;;;;;x
WEGAINCB_SETUP;我が国が开战事由を获得したとき;When we gain a Casus Belli;;;;;;;;;;;;x
WEGAINCB_HEADER;$MONARCHTITLE$;$MONARCHTITLE$;;;;;;;;;;;;x
WEGAINCB_1;开战事由;Casus Belli;;;;;;;;;;;;x
WEGAINCB_2;我が国は、以下の名目で、;We have gained the;;;;;;;;;;;;x
WEGAINCB_3;$ENEMY$に对する;$CASUS$' Casus Belli;;;;;;;;;;;;x
WEGAINCB_4;开战事由を获得しました。;against;;;;;;;;;;;;x
WEGAINCB_5;『$CASUS$』;$ENEMY$;;;;;;;;;;;;x
WEGAINCB_6;$DESC$;$DESC$;;;;;;;;;;;;x
WEGAINCB_LOG;我が国は、以下の名目で、$ENEMY$に对する开战事由を获得しました：『$CASUS$』;We gained the '$CASUS$' Casus Belli against $ENEMY$.;;;;;;;;;;;;x
WEGAINCB_BTN1;OK;OK;;;;;;;;;;;;x
WEGAINCB_BTN2;OK;OK;;;;;;;;;;;;x
WEGAINCB_BTN3;确认;Goto;;;;;;;;;;;x;
WEGAINCB_MAP;*;*;;;;;;;;;;;;x
NORMAL_WAR_FREE_NAME;$FIRST_COUNTRY$の$ORDER$$COUNTRY$解放战争;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Freedom;;;;;;;;;;;;x
AGRESSION_WAR_FREE_NAME;$COUNTRY$支援目的の$ORDER$$FIRST_COUNTRY$战争;$ORDER$$FIRST$ War of Propping up $COUNTRY$;;;;;;;;;;;;x
