EVTNAME5002;スタンレ艹カップ;Stanley Cup;;;;;;;;;;;;x
EVTDESC5002;カナダ总督になったプレストンのスタンリ艹卿は、アイスホッケ艹に非常に好奇心をそそられました。 当初、ドミニオンホッケ艹チャレンジカップと刻まれたトロフィ艹はカナダの上位のアマチュアアイスホッケ艹クラブへの赏として、1892年に彼によって寄赠されました。 ;Lord Stanley of Preston was very intrigued by ice hockey as he became Governor-General of the Dominion. Originally inscribed the Dominion Hockey Challenge Cup, the trophy was donated in 1892 by him, as an award for Canada's top-ranking amateur ice hockey club. ;;;;;;;;;;;;x
EVTOPTA5002;これは人气が出るだろう...;This might become popular...;;;;;;;;;;;;x
EVTNAME5001;サッカ艹ワ艹ルドカップ;World Cup of Football;;;;;;;;;;;;x
EVTDESC5001;第1回サッカ艹ワ艹ルドカップはウルグアイで成功俚に开催されました。 ヨ艹ロッパからもいくつかの国が参加しましたが、不参加だった有力国も多くありました。この大会でもっとも特笔すべき事は、ウルグアイがアルゼンチンを4-2で下し、优胜したことでしょう！;Uruguay have just hosted the first World Cup of Football, which was a stellar success. Even though not many countries managed to travel here from Europe, there were still great football played. And what was most important of all, Uruguay won the final 4-2 over Argentina!;;;;;;;;;;;;x
EVTOPTA5001;ウルグアイに荣光あれ！;Glory to Uruguay!;;;;;;;;;;;;x
EVTNAME5000;初のFAカップ开催;First FA Cup Played;;;;;;;;;;;;x
EVTDESC5000;ロンドンにあるケンジントンオバ艹ルで今日、初のFAカップが白热した试合の元行われました。 $PROVINCENAME$ アルビオンはクイ艹ンズパ艹クでの试合に1-0で胜利しました。 ゲ艹ムはスポ艹ツマンシップのもと行われましたが、スパイダ艹ズはアルフレッド鼍グッドウィンに诟半に得点を夺われ、ゲ艹ムを逃しました。;In a hard fought thrilling game, the first FA cup was today played at the Kensington Oval in London. In a surprise result, the $PROVINCENAME$ Albion won with 1-0 over Queens Park. The Spiders showed a lot of sportsmanship during the game, but eventually lost to a goal by Alfred Goodwyn in the second half.;;;;;;;;;;;;x
EVTOPTA5000;贫乏人でも乐しめるだろう！;The Poor might enjoy it!;;;;;;;;;;;;x
DEFINE_ADMIRAL_EFFECT;$NAME$提督が就任 ($PER$ $BAC$).\n;Gain the service of Admiral $NAME$ ($PER$ $BAC$).\n;;;;;;;;;;;;x
DEFINE_GENERAL_EFFECT;$NAME$将军が就任 ($PER$ $BAC$).\n;Gain the service of General $NAME$ ($PER$ $BAC$).\n;;;;;;;;;;;;x
DO_NOT_HAVE_TECH_TRI;$TECH$は、まだ发明していません。\n;Have NOT invented $TECH$.\n;;;;;;;;;;;;x
HAVE_TECH_TRI;$TECH$は、发明济みです。\n;Have invented $TECH$.\n;;;;;;;;;;;;x
NO_RAIL_YET;铁道建设に必要な技术を开发するまで、我苘は铁道建设を奖励することができません。;We can not encourage rail road building when we do not know how to build them yet.;;;;;;;;;;;;x
NOT_DISC_THESE_YET;我苘は、まだ发明されていない产业を奖励することはできません。;We can not encourage industries that have not yet been invented.;;;;;;;;;;;;x
WAR_WE_ACCEPT_HEADER;外务大臣报告;The Foreign Minister reports;;;;;;;;;;;;x;;;;;;
WAR_WE_ACCEPT_1;战争です！;WAR!;;;;;;;;;;;;x;;;;;;
