LEDGER_COUNTRY_NAME;国名;Country;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_MILSCORE;军事点;Military Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_INDSCORE;工业点;Industrial Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_PRESTIGE;威信;Prestige;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTALSCORE;总合点;Total Score;;;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCES;プロヴィンス;Provinces;;;;;;;;;;;;x;;;;
LEDGER_PROVINCE_NAME;プロヴィンス;Provinces;;;;;;;;;;;;x;;;;
LEDGER_PROVINCE_TOTALPOP;POP总数;Total pop.;;;;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGMIL;平均斗争性;Avg. Mil.;;;;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGCON;平均政治意识;Avg. Con.;;;;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGLIT;平均识字率;Avg. Lit.;;;;;;;;;;;;x;;;;
LEDGER_PROVINCE_RELIGION;宗教;Religion;;;;;;;;;;;x;;;;
LEDGER_PROVINCE_CULTURE;文化;文化;;;;;;;;;;;x;;;;
LEDGER_PROVINCE_ISSUE;关心事;Issue;;;;;;;;;;;;x;;;;
LEDGER_PROVINCE_IDEOLOGY;イデオロギ艹;Ideology;;;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCE_POPS;プロヴィンス人口;Province population;;;;;;;;;;;;x;;;;
LEDGER_HEADER_ARMY;陆军;Armies;;;;;;;;;;;;x;;;;
LEDGER_ARMY_NAME;陆军;Armies;;;;;;;;;;;;x;;;;
LEDGER_ARMY_INFANTRY;步兵;Infantry;;;;;;;;;;;x;;;;
LEDGER_ARMY_CAVALRY;骑兵;Cavalry;;;;;;;;;;;x;;;;
LEDGER_ARMY_ARTILLERY;炮兵;Artillery;;;;;;;;;;;x;;;;
LEDGER_HEADER_GOODS_PRICEHISTORY;价格履历;Price history;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_STATUS;国家の状态;Status;;;;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYCOMPARE;国家间比较;National Comparison;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTAL_POP;POP总数;Total pop.;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_PROVCOUNT;プロヴィンス;Provinces;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_FACTORYCOUNT;工场;Factories;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_LITERACY;识字率;Literacy;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_LEADERSHIP;统率值;Leadership;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_DIVISIONS;连队;Brigades;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_SHIPS;舰船;Ships;;;;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYPARTY;政治体制;Political systems;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_GOVERNMENT;政府;Government;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_NATIONALVALUE;国民性;National Value;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_RULINGPARTY;与党;Ruling party;;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_RULINGIDEOLOGY;与党のイデオロギ艹;Party ideology;;;;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;政治改革;Political reforms;;;;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYSOCIALREFORMS;社会改革;Social reforms;;;;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRY_POPS;总人口;Country population;;;;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCEPRODUCTION;プロヴィンスの生产物;Province production;;;;;;;;;;;;x;;;;
LEDGER_STATE_NAME;ステ艹ト;State;;;;;;;;;;;;x;;;;
LEDGER_GOODS;产品;Goods;;;;;;;;;;;;x;;;;
LEDGER_OUTPUT;生产量;Output;;;;;;;;;;;;x;;;;
LEDGER_INCOME;鳅入;Income;;;;;;;;;;;;x;;;;
LEDGER_EMPLOYED;雇用;Employed;;;;;;;;;;;;x;;;;
LEDGER_LEVEL;レベル;Level;;;;;;;;;;;;x;;;;
LEDGER_HEADER_FACTORYPRODUCTION;工场生产物;Factory production;;;;;;;;;;;;x;;;;
BUDGET;予算;Budget;;;;;;;;;;;;x;;;;
BUDGET_TAX_POOR;税(下层阶级);Tax(Poor);;;;;;;;;;;;x;;;;
BUDGET_TAX_POOR_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_TAX_MIDDLE;税(中产阶级);Tax(Middle);;;;;;;;;;;;x;;;;
BUDGET_TAX_MIDDLE_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_TAX_RICH;税(富裕阶级);Tax(Rich);;;;;;;;;;;;;x;;;;
BUDGET_TAX_RICH_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_TOTAL_FUNDS;总资金额;Total Funds;;;;;;;;;;;;x;;;;
BUDGET_TOTAL_DEBT;总借款额;Total Debt;;;;;;;;;;;;x;;;;
BUDGET_TAKE_LOAN;借款申钇;Take Loan;;;;;;;;;;;;x;;;;
BUDGET_REPAY_LOAN;借款返济;Repay Loan;;;;;;;;;;;;x;;;;
BUDGET_DAILY_INCOME;日每の鳅入;Daily Income;;;;;;;;;;;;x;;;;
BUDGET_DAILY_EXPENSES;日每の支出;Daily Expenses;;;;;;;;;;;;x;;;;
BUDGET_MILITARY_COST;军事费;Military Costs;;;;;;;;;;;;x;;;;
BUDGET_NATIONAL_STOCKPILE;国家备蓄购入费;National Stockpile;;;;;;;;;;;;x;;;;
BUDGET_INDUSTRIAL_SUBSIDIES;工业助成金;Industrial Subsidies;;;;;;;;;;;x;;;;
BUDGET_TARIFFS;关税;Tariffs;;;;;;;;;;;;x;;;;
BUDGET_DAILY_BALANCE;日每の鳅支バランス;Projected Daily Balance;;;;;;;;;;;;x;;;;
BUDGET_GOLD_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_MIL_COST_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_NAT_STOCK_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_IND_SUP_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_EDUCATION_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_ADMIN_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_SOCIAL_SPEND_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_MIL_SPEND_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_TARIFF_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_TOTAL_FUNDS_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_BALANCE_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_DEBT_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_NATIONAL_BANK_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_INTEREST_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_CLOSE_WINDOW;财政画面を闭じる;Closes budget window;;;;;;;;;;;;x;;;;
BUDGET_TOTAL_EXPENSE;总支出: $VAL$;Total Expense: $VAL$;;;;;;;;;;;;x;;;;
BUDGET_SLIDER_ADMINISTRATION;行政费: $VAL$;Administration: $VAL$;;;;;;;;;;;;x;;;;
BUDGET_EXPENSE_SLIDER_EDUCATION;教育费: $VAL$;Education: $VAL$;;;;;;;;;;;;x;;;;
BUDGET_SLIDER_SOCIAL_SPENDING;社会保障费: $VAL$;Social Spending: $VAL$;;;;;;;;;;;;x;;;;
BUDGET_SLIDER_MILITARY_SPENDING;军事费: $VAL$;Miltary Spending: $VAL$;;;;;;;;;;;;x;;;;
BUDGET_INTEREST;利子: $VAL$;Interest: $VAL$;;;;;;;;;;;;x;;;;
REMOVE_BUDGET_IMPORTS;输入: $VAL$;Imports: $VAL$;;;;;;;;;;;;x;;;;
BUDGET_SUPPLYCOSTS;补给コスト: $VAL$;Supply Costs: $VAL$;;;;;;;;;;;;x;;;;
BUDGET_TAX;$VAL$;$VAL$;;;;;;;;;;;;x;;;;
BUDGET_BASE_TAX;基础的征税鳇率: $VAL$%;Base tax efficiency: $VAL$%;;;;;;;;;;;;x;;;;
BUDGET_TECH_TAX;技术补正: $VAL$%;From technology: $VAL$%;;;;;;;;;;;;x;;;;
BUDGET_STRATA_NEED;$VAL$%の人苘が$TYPE$を得ています。;$VAL$% are getting their $TYPE$;;;;;;;;;;;;x;;;;
BUDGET_STRATA_NO_NEED;$VAL$%は、まったく需要を充たせていません。;$VAL$% are getting none of their needs.;;;;;;;;;;;;x;;;;
BUDGET_TOTAL_INCOME;总岁入: $VAL$;Total Income: $VAL$;;;;;;;;;;;;x;;;;
