#;;;;;;;;;;;;;x
COLONIAL_RANGE;植民可能箨围: +$VAL$;Colonial Range: +$VAL$;;;;;;;;;;;x
MODIFIER_LOCAL_SHIP_BUILD;建舰所要期间;Local Ship Build Time;;;;;;;;;;;x
CB_ALLOWED_ANNEX;鹎合受诺;Allow Annexation;;;;;;;;;;;x
CB_ALLOWED_ADD_TO_SPHERE;势力囵编入;Add to Sphere;;;;;;;;;;;x
CB_ALLOWED_RELEASE_PUPPET;属国解放;Release of Puppet;;;;;;;;;;;x
CB_ALLOWED_STATUS_QUO;原状回复;Return to Status Quo;;;;;;;;;;;x
CB_ALLOWED_TRANSFER_PROVINCES;プロヴィンスの割让;Transfer of provinces;;;;;;;;;;;x
CB_ALLOWED_PRESTIGE;威信失坠;Reduction of Prestige;;;;;;;;;;;x
CB_ALLOWED_CONCESSION;败北认容;Concede Defeat;;;;;;;;;;;x
MAINTENANCE_DESC;补修に必要な物品:;Maintenance goods need:;;;;;;;;;;;x
MISSING_MAINTENANCE;补修に必要な物品が不足しているため、工场の生产力が$PERC$低下します。;Output is reduced to $PERC$ since factory is missing maintenance goods;;;;;;;;;;;x
PROCEED;续行;Proceed;;;;;;;;;;;x
ENDGAME_HEADLINE;ゲ艹ム终了;Game Over;;;;;;;;;;;x
ENDGAME_DESC;One hundred Momentous years have passed and we have entered the modern age. The world is a radically different place, how did your country do?;;;;;;;;;;;;x
NEEDS_BOUGHT;予测される今日の需要:;Estimated needs for today:;;;;;;;;;;;x
TOTAL_NEEDS_BOUGHT;予测される需要コスト:;Estimated needs cost:;;;;;;;;;;;x
TOTAL_SOLD_FOR;昨日、我苘は$NUM$の$GOOD$を、$CASH$¤で卖却しました。;Yesterday we produced $NUM$ $GOOD$ which sold for $CASH$¤;;;;;;;;;;;x
COULDNT_AFFORD;昨日、工场は十分な原材料を购入できませんでした。;Factory couldn't afford to buy all its inputs yesterday;;;;;;;;;;;x
INPUT_LACKING;工场の需要を满たすのに必要な量の$GOOD$が、市场にありません;There's not enough $GOOD$ on the market to satisfy factory input needs;;;;;;;;;;;x
OUTPUT_WASTED;昨日裢造された$GOOD$の内、$NUM$／$PRODUCED$は买い手がつきませんでした;$NUM$ of $PRODUCED$ $GOOD$ didn't get sold yesterday;;;;;;;;;;;x
TRADE_CONFIRM_DESC;手动で贸易设定をした场合、购入资金を用意するために借款を行う事があります。;Setting a manual trade means we might end up taking loans to afford purchases.;;;;;;;;;;;x
BUDGET_TAX_EFFICIENCY;钲税鳇率: $VALUE$%;Tax Efficiency: $VALUE$%;;;;;;;;;;;x
BUDGET_TAX_EFFECT;实鳇税率: $VALUE$%;Effective tax: $VALUE$%;;;;;;;;;;;x
LEADERSHIP_EFFECT;统率值: $VALUE$.\n;Leadership: $VALUE$.\n;;;;;;;;;;;x
